"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.604609583E-1,3.237467651E0,8.692723389E0,2.869532776E-1,9.280462213E0
6.704659583E-1,3.457809448E0,8.804091797E0,3.583547974E-1,9.465563729E0
6.804699583E-1,3.702700195E0,8.947643280E0,4.532574463E-1,9.694109104E0
6.904749583E-1,3.950584717E0,9.067244568E0,5.412744141E-1,9.905302704E0
7.004789583E-1,4.181554413E0,9.150621185E0,5.924679565E-1,1.007820836E1
7.104839583E-1,4.402794342E0,9.190139008E0,6.403683472E-1,1.021045173E1
7.204879583E-1,4.614753571E0,9.135053558E0,6.947053528E-1,1.025805876E1
7.304929583E-1,4.824018402E0,9.049581299E0,7.349716187E-1,1.028135490E1
7.404969583E-1,5.057682495E0,9.003477173E0,6.924600220E-1,1.034998813E1
7.505019583E-1,5.287604370E0,8.977431335E0,6.126759338E-1,1.043687717E1
7.605059583E-1,5.462141418E0,8.879834290E0,5.788462830E-1,1.044133655E1
7.705109583E-1,5.563929749E0,8.694070587E0,5.918692017E-1,1.033897900E1
7.805149583E-1,5.643863525E0,8.510552216E0,7.729925537E-1,1.024110404E1
7.905199583E-1,5.667813721E0,8.298293610E0,1.092278595E0,1.010835604E1
8.005239583E-1,5.514682159E0,8.262817383E0,1.454674988E0,1.004001742E1
8.105289583E-1,5.108426971E0,8.264613647E0,1.938319244E0,9.907418754E0
8.205329583E-1,4.772076416E0,8.270002441E0,2.378553772E0,9.839876612E0
8.305379583E-1,4.656816101E0,8.351283417E0,2.508633270E0,9.885500078E0
8.405429583E-1,4.677922211E0,8.420140228E0,2.354453888E0,9.915904940E0
8.505469583E-1,4.719385986E0,8.428971863E0,2.057770844E0,9.876972795E0
8.605519583E-1,4.629423065E0,8.411458282E0,1.513053589E0,9.719748943E0
8.705559583E-1,4.164040833E0,8.422385559E0,6.453080750E-1,9.417655604E0
8.805609583E-1,3.403023376E0,8.416547699E0,-1.425036621E-1,9.079600793E0
8.905649583E-1,2.984493713E0,8.237819366E0,-3.101550293E-1,8.767272482E0
9.005699583E-1,3.000959473E0,8.035589905E0,2.436932373E-1,8.581133332E0
9.105739583E-1,3.402873688E0,8.113577728E0,1.198856964E0,8.879580559E0
9.205789583E-1,3.935466156E0,8.583750000E0,2.217488708E0,9.699789384E0
9.305829583E-1,4.184697876E0,9.287137299E0,3.045417023E0,1.063189449E1
9.405879583E-1,4.017345886E0,9.905202026E0,3.670367432E0,1.130149071E1
9.505919583E-1,3.484753418E0,1.024529480E1,4.053420868E0,1.155594188E1
9.605969583E-1,2.798580322E0,1.026640091E1,3.978875885E0,1.136056745E1
9.706009583E-1,2.159409485E0,9.951755219E0,3.496878204E0,1.076701623E1
9.806059583E-1,1.807790680E0,9.588760071E0,3.044668579E0,1.022166491E1
9.906099583E-1,1.803150330E0,9.148226166E0,2.802322540E0,9.736241817E0
1.000614958E0,2.107018433E0,8.732091522E0,2.675835571E0,9.372782139E0
1.010618958E0,2.627486115E0,8.331225128E0,2.644999695E0,9.127377433E0
1.020623958E0,3.125949554E0,7.845185852E0,2.648592224E0,8.850623845E0
1.030627958E0,3.482208710E0,7.465275879E0,2.250120850E0,8.539271941E0
1.040632958E0,3.756887512E0,7.410190430E0,1.629960480E0,8.466516235E0
1.050636958E0,4.030518494E0,7.709717560E0,1.271905060E0,8.792187820E0
1.060641958E0,4.394112396E0,8.268954620E0,1.183439026E0,9.438451260E0
1.070645958E0,4.567601624E0,8.859776001E0,1.323847046E0,1.005540583E1
1.080650958E0,4.537214813E0,9.354646912E0,1.549577637E0,1.051175190E1
1.090654958E0,4.407883759E0,9.662107544E0,1.918410645E0,1.079194426E1
1.100659958E0,4.251309357E0,9.707463226E0,2.747536469E0,1.094794182E1
1.110663958E0,3.634891205E0,9.502838745E0,3.643124084E0,1.080688352E1
1.120668958E0,2.271376648E0,9.103618927E0,3.946692810E0,1.017896918E1
1.130672958E0,8.884025574E-1,8.733588409E0,3.921245728E0,9.614623948E0
1.140677958E0,-6.062393188E-2,8.634494476E0,3.884871368E0,9.468389286E0
1.150681958E0,-6.994953918E-1,8.719068604E0,3.841461639E0,9.553443287E0
1.160686958E0,-1.118324432E0,8.829688568E0,3.629801788E0,9.611946253E0
1.170691958E0,-1.276695099E0,8.983269196E0,3.147804108E0,9.604048444E0
1.180695958E0,-1.168470154E0,9.141190796E0,2.511627045E0,9.551699434E0
1.190700958E0,-8.208929443E-1,9.239985352E0,1.906285858E0,9.470222822E0
1.200704958E0,-4.448748779E-1,9.155710602E0,1.439706116E0,9.278884846E0
1.210709958E0,-1.568737793E-1,8.864715729E0,1.211879883E0,8.948544417E0
1.220713958E0,5.388793945E-3,8.451275482E0,1.188977509E0,8.534503725E0
1.230718958E0,7.499404907E-2,7.865393829E0,1.215322723E0,7.959086224E0
1.240722958E0,1.799258423E-1,7.185657349E0,1.056652679E0,7.265160681E0
1.250727958E0,5.096900940E-1,6.434818726E0,7.589218140E-1,6.499433694E0
1.260731958E0,8.647517395E-1,5.679788818E0,6.327342224E-1,5.779978303E0
1.270736958E0,1.107097778E0,5.153483276E0,8.521778870E-1,5.339500213E0
1.280740958E0,1.503323822E0,4.730912018E0,1.781744843E0,5.274099517E0
1.290745958E0,2.461481323E0,4.729564819E0,4.093836823E0,6.722140553E0
1.300749958E0,3.788920898E0,5.143903198E0,6.833439789E0,9.354761410E0
1.310754958E0,4.113446045E0,5.345533905E0,7.098089447E0,9.791733498E0
1.320758958E0,3.009791107E0,5.275629272E0,4.789290619E0,7.734882763E0
1.330763958E0,1.722617798E0,5.519172821E0,1.834285583E0,6.065746805E0
1.340767958E0,9.063652039E-1,6.216123505E0,-3.582051086E-1,6.292058503E0
1.350772958E0,6.933581543E-1,7.177723846E0,-8.933422852E-1,7.266259394E0
1.360773708E0,1.281485138E0,8.606951752E0,3.441343689E-1,8.708630838E0
1.370778708E0,3.038681030E0,1.038540344E1,3.382516022E0,1.133717785E1
1.380782708E0,5.129233704E0,1.164009430E1,5.971382446E0,1.405198356E1
1.390787708E0,5.908064117E0,1.133697464E1,5.694757690E0,1.399508774E1
1.400791708E0,5.837261353E0,1.049752029E1,2.681823120E0,1.230706007E1
1.410796708E0,5.932164001E0,1.032238449E1,4.468208313E-1,1.191393471E1
1.420800708E0,6.192772064E0,1.075513458E1,1.016386414E-1,1.241103042E1
1.430805708E0,7.109016724E0,1.173604477E1,1.084644470E0,1.376405897E1
1.440809708E0,8.506061554E0,1.260902939E1,2.873574371E0,1.547895781E1
1.450814708E0,9.246571655E0,1.260977783E1,3.200943604E0,1.596094058E1
1.460818708E0,9.293124847E0,1.180744629E1,2.440075836E0,1.522274375E1
1.470823708E0,9.301208038E0,1.051368668E1,2.148482208E0,1.420091738E1
1.480827708E0,9.165440369E0,8.712033234E0,2.455344086E0,1.288151912E1
1.490832708E0,8.272247772E0,7.958200836E0,2.836451569E0,1.182406450E1
1.500836708E0,7.687713318E0,9.444909210E0,3.536396027E0,1.268122009E1
1.510841708E0,7.294780426E0,1.075288925E1,4.365521851E0,1.370752457E1
1.520845708E0,6.568341064E0,1.141391464E1,4.477039948E0,1.390914945E1
1.530850708E0,5.760171661E0,1.165745819E1,4.215084686E0,1.366904708E1
1.540855708E0,5.017565918E0,1.150806885E1,4.464915161E0,1.332467950E1
1.550859708E0,4.465364227E0,1.110914841E1,4.376748505E0,1.274788545E1
1.560864708E0,4.111350403E0,1.078237793E1,4.165238342E0,1.226833674E1
1.570868708E0,3.915557556E0,1.088506439E1,4.751119995E0,1.250557312E1
1.580873708E0,4.141437836E0,1.159982803E1,5.549859009E0,1.350956893E1
1.590877708E0,4.706063690E0,1.282024017E1,6.124813385E0,1.496726203E1
1.600882708E0,5.087320862E0,1.442415482E1,6.776707764E0,1.672904193E1
1.610886708E0,5.120551758E0,1.633747604E1,6.927444305E0,1.846950618E1
1.620891708E0,5.648204498E0,1.830094299E1,7.575297089E0,2.059640392E1
1.630895708E0,6.868017883E0,1.970816666E1,9.190438385E0,2.280450965E1
1.640900708E0,8.322992249E0,2.091001740E1,1.017763550E1,2.469990469E1
1.650904708E0,1.016895355E1,2.295237030E1,8.146808624E0,2.639298031E1
1.660909708E0,1.199590439E1,2.579600693E1,5.237907715E0,2.892700076E1
1.670913708E0,1.317844528E1,2.844654510E1,2.865042114E0,3.148151545E1
1.680918708E0,1.387749161E1,3.060550552E1,-4.595443726E-2,3.360481890E1
1.690922708E0,1.462383957E1,3.133868088E1,-1.017434235E0,3.459775680E1
1.700927708E0,1.443867462E1,3.003459274E1,2.115101624E-1,3.332561811E1
1.710931708E0,1.349623444E1,2.738929367E1,-5.399272156E-1,3.053871761E1
1.720936708E0,1.165670975E1,2.429567688E1,-8.442443848E-1,2.696055537E1
1.730940708E0,9.528285828E0,2.127196472E1,1.535806274E-1,2.330897469E1
1.740945708E0,7.729775848E0,1.753708145E1,1.382974091E0,1.921487127E1
1.750949708E0,5.762267303E0,1.246981888E1,5.051994324E0,1.463635043E1
1.760954708E0,4.001927948E0,6.811884613E0,1.013841705E1,1.285319803E1
1.770958708E0,2.964734802E0,3.736080780E0,9.848619690E0,1.094272644E1
1.780963708E0,2.005230103E0,8.515791321E-1,1.263717087E1,1.282358071E1
1.790967708E0,2.098635864E0,-1.049168243E0,1.167437302E1,1.190781306E1
1.800972708E0,2.801125031E0,5.680686951E-1,1.165177002E0,3.086525705E0
1.810976708E0,1.611399078E0,3.168910217E-1,-2.960393829E0,3.385403748E0
1.820981708E0,3.755690002E-1,-5.415737915E-1,-2.995870056E0,3.067505768E0
1.830985708E0,-1.414558411E-1,-9.174421692E-1,-2.929857330E0,3.073397772E0
1.840990708E0,-5.932164001E-1,-1.042881317E0,-2.163900146E0,2.474261705E0
1.850994708E0,-7.822732544E-1,-1.163680115E0,-1.916315002E0,2.374524382E0
1.860999708E0,-9.434880066E-1,-1.363364868E0,-2.204166412E0,2.758130337E0
1.871003708E0,-1.045875092E0,-1.613943787E0,-2.551893311E0,3.195438737E0
1.881008708E0,-1.073118439E0,-1.818268890E0,-2.857557678E0,3.552931300E0
1.891013708E0,-1.050814819E0,-1.877395935E0,-2.831212463E0,3.555923410E0
1.901017708E0,-9.327104187E-1,-1.807491302E0,-2.548899536E0,3.260960346E0
1.911022708E0,-8.411009216E-1,-1.764231262E0,-2.331701202E0,3.042497856E0
1.921026708E0,-6.999444580E-1,-1.816322937E0,-2.120789795E0,2.878662990E0
1.931031708E0,-5.635780334E-1,-1.788181458E0,-1.909129944E0,2.675815813E0
1.941035708E0,-4.441264343E-1,-1.767973480E0,-1.711091766E0,2.500162705E0
1.951040708E0,-5.122348022E-1,-1.760339355E0,-1.633553009E0,2.455539568E0
1.961044708E0,-6.086343384E-1,-1.818119202E0,-1.754351807E0,2.598796539E0
1.971049708E0,-7.735913086E-1,-1.835483093E0,-1.805096283E0,2.688087478E0
1.981053708E0,-9.732760620E-1,-1.877845001E0,-1.757195892E0,2.749782818E0
1.991058708E0,-1.219214630E0,-1.878294067E0,-1.709295502E0,2.817119811E0
2.001062708E0,-1.530417480E0,-1.817370758E0,-1.683698730E0,2.912019154E0
2.011067708E0,-1.558858337E0,-1.294208679E0,-1.598974915E0,2.581033940E0
2.021071708E0,-1.410367126E0,-6.267466736E-1,-1.571731567E0,2.202790717E0
2.031076708E0,-1.553619232E0,-2.206411743E-1,-1.630559235E0,2.262993297E0
2.041080708E0,-1.678010559E0,1.743873596E-1,-1.728455658E0,2.415303159E0
2.051085708E0,-1.797162781E0,4.668791199E-1,-1.770667877E0,2.565742564E0
2.061089708E0,-1.941612396E0,5.718109131E-1,-1.793869629E0,2.704587707E0
2.071094708E0,-2.185305634E0,3.986210632E-1,-1.934726715E0,2.945781208E0
2.081098708E0,-2.441572723E0,2.649490356E-2,-1.965412903E0,3.134458043E0
2.091103708E0,-2.591560822E0,-3.185375977E-1,-1.695973206E0,3.113515506E0
2.101107708E0,-2.556833038E0,-5.668711853E-1,-1.311871948E0,2.929120369E0
2.111112708E0,-2.420316925E0,-7.679031372E-1,-9.057664490E-1,2.695926947E0
2.121116708E0,-2.157762909E0,-9.168434143E-1,-5.400769043E-1,2.405873164E0
2.131121708E0,-1.870510254E0,-9.988728333E-1,-2.097138977E-1,2.130853225E0
2.141125708E0,-1.513802032E0,-1.008901978E0,-4.086502075E-2,1.819656491E0
2.151130708E0,-1.183139648E0,-9.735754395E-1,4.819976807E-2,1.532968291E0
2.161134708E0,-9.735754395E-1,-9.104067993E-1,1.255888367E-1,1.338828679E0
2.171139708E0,-8.280780029E-1,-8.223898315E-1,1.678010559E-1,1.179065481E0
2.181143708E0,-6.960525513E-1,-7.065307617E-1,2.279759216E-1,1.017667869E0
2.191148708E0,-5.767506409E-1,-5.963598633E-1,3.001258850E-1,8.822482276E-1
2.201152708E0,-4.547543335E-1,-5.047503662E-1,3.159928894E-1,7.492836193E-1
2.211157708E0,-3.429368591E-1,-4.367916870E-1,3.243754578E-1,6.431268186E-1
2.221161708E0,-2.188449097E-1,-3.849993896E-1,2.978805542E-1,5.337138270E-1
2.231166708E0,-5.388793945E-2,-2.787203979E-1,3.174897766E-1,4.258975563E-1
2.241170708E0,1.418300629E0,8.716374207E-1,2.087259521E0,2.669827855E0
2.251175708E0,6.198011169E0,6.772815857E0,1.009410919E1,1.364468459E1
2.261180708E0,2.609224091E0,6.901697845E0,9.745484161E0,1.222358151E1
2.271184708E0,-4.558021545E-1,2.759361877E0,4.775668945E0,5.534333515E0
2.281189708E0,3.037483521E0,1.493309647E1,2.562640961E1,2.981503892E1
2.291193708E0,1.208616669E1,3.739388901E1,7.218424210E1,8.218846128E1
2.301198708E0,9.436676331E0,3.035507629E1,2.860955612E1,4.276667182E1
2.311202708E0,8.512797546E-1,3.607722702E1,-1.511197449E1,3.912368540E1
