"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.947124970E-3,2.863545227E0,9.521699524E0,1.155746613E0,1.000991525E1
1.595212502E-2,2.865640869E0,9.536668396E0,1.247805176E0,1.003578395E1
2.595612500E-2,2.910547485E0,9.471703491E0,1.343605957E0,9.999486520E0
3.596112499E-2,2.971021729E0,9.354646912E0,1.503174133E0,9.929547896E0
4.596612498E-2,2.968626709E0,9.259295197E0,1.622026978E0,9.857903610E0
5.597112497E-2,2.925216980E0,9.217981110E0,1.652413788E0,9.811143738E0
6.597512501E-2,2.897225189E0,9.200617218E0,1.633253632E0,9.783291287E0
7.598012500E-2,2.793790283E0,9.220525818E0,1.518292694E0,9.753387781E0
8.598512498E-2,2.683320007E0,9.258097687E0,1.325044556E0,9.729764751E0
9.599012497E-2,2.604583740E0,9.362281036E0,1.206191711E0,9.792398129E0
1.059941250E-1,2.556234283E0,9.492959290E0,1.160836029E0,9.899401501E0
1.159991250E-1,2.546803894E0,9.634864197E0,1.209335175E0,1.003888987E1
1.260041250E-1,2.565215607E0,9.719887390E0,1.353335724E0,1.014337516E1
1.360091250E-1,2.645299072E0,9.721084900E0,1.516945496E0,1.018814127E1
1.460131250E-1,2.717748413E0,9.639953613E0,1.724713440E0,1.016314413E1
1.560181250E-1,2.784509583E0,9.565258942E0,1.912722473E0,1.014426831E1
1.660231250E-1,2.761008453E0,9.595346375E0,1.965263214E0,1.017625173E1
1.760281250E-1,2.644850006E0,9.624236298E0,1.805695038E0,1.014306120E1
1.860321250E-1,2.413880310E0,9.617350616E0,1.515897675E0,1.003086222E1
1.960371250E-1,2.185305634E0,9.652527466E0,1.288221130E0,9.980298636E0
2.060421250E-1,2.112556915E0,9.729467468E0,1.068627777E0,1.001336104E1
2.160471250E-1,2.052681427E0,9.837692413E0,9.327104187E-1,1.009275194E1
2.260511250E-1,1.919159088E0,9.837692413E0,9.532177734E-1,1.006836569E1
2.360561250E-1,1.671723633E0,9.749825134E0,1.209185486E0,9.965735276E0
2.460611250E-1,1.363364868E0,9.772577820E0,1.795366516E0,1.002922639E1
2.560661250E-1,1.062041473E0,1.000953506E1,2.497855682E0,1.037101766E1
2.660701250E-1,9.461824036E-1,1.013976425E1,3.265459442E0,1.069454560E1
2.760751250E-1,7.426057434E-1,9.935588837E0,3.885470123E0,1.069412301E1
2.860801250E-1,6.539900208E-1,9.715396729E0,4.149221649E0,1.058454897E1
2.960851250E-1,6.132746887E-1,9.787397003E0,4.779411163E0,1.090926290E1
3.060891250E-1,7.225474548E-1,1.000384689E1,4.904401245E0,1.116477403E1
3.160941250E-1,6.779402161E-1,1.028601013E1,5.282065887E0,1.158282467E1
3.260991250E-1,1.947450256E-1,1.062625259E1,6.630611572E0,1.252677850E1
3.361041250E-1,-1.348695374E-1,1.068567902E1,7.547155609E0,1.308286985E1
3.461091250E-1,-2.978805542E-2,1.050874695E1,7.770341492E0,1.306953927E1
3.561131250E-1,6.462062073E-1,9.887239380E0,7.546556854E0,1.245494301E1
3.661181250E-1,1.852397919E0,8.624914398E0,6.556216278E0,1.099110997E1
3.761231250E-1,2.772534485E0,7.327113190E0,5.025349731E0,9.307398943E0
3.861281250E-1,3.526965637E0,6.626120911E0,3.333118744E0,8.213077711E0
3.961321250E-1,3.963457947E0,6.059549103E0,1.728305969E0,7.444069838E0
4.061371250E-1,4.189188538E0,5.980513458E0,-1.172062683E-1,7.302710397E0
4.161421250E-1,4.276606750E0,6.358477478E0,-1.341959381E0,7.779489451E0
4.261471250E-1,4.334536285E0,6.320606232E0,-1.537153473E0,7.816719820E0
4.361511250E-1,4.167333984E0,6.178252258E0,-1.447789307E0,7.591677508E0
4.461561250E-1,3.834875336E0,5.670957184E0,-9.824070740E-1,6.916006643E0
4.561611250E-1,3.307821350E0,4.757257233E0,-5.685177612E-1,5.822060710E0
4.661661250E-1,2.874023438E0,4.135749664E0,-1.052311707E-1,5.037411002E0
4.761701250E-1,2.520907745E0,3.992198181E0,5.825885010E-1,4.757313479E0
4.861751250E-1,1.984273682E0,3.952680359E0,1.160536652E0,4.572512371E0
4.961801250E-1,1.268312531E0,4.158951416E0,2.460433502E0,4.995920994E0
5.061851250E-1,7.185058594E-3,5.113067322E0,6.888375549E0,8.578649472E0
5.161891250E-1,-2.183060303E0,6.756649475E0,1.136945709E1,1.340457455E1
5.261941250E-1,-2.173031158E0,8.185428314E0,9.917925568E0,1.304180005E1
5.361991250E-1,-3.347039795E-1,9.918524323E0,5.762267303E0,1.147575165E1
5.462041250E-1,1.616787872E0,1.199410812E1,2.349813538E0,1.232859507E1
5.562081250E-1,2.942580872E0,1.376537476E1,7.225474548E-1,1.409490685E1
5.662131250E-1,3.608545990E0,1.451636307E1,-1.559756470E-1,1.495896819E1
5.762181250E-1,3.628155212E0,1.505239838E1,-1.363664246E-1,1.548408224E1
5.862231250E-1,3.068319397E0,1.477846802E1,7.316784668E-1,1.511135514E1
5.962271250E-1,2.497556305E0,1.352931564E1,1.406475220E0,1.382961828E1
6.062321250E-1,2.087409210E0,1.208871140E1,1.602717133E0,1.237186011E1
6.162371250E-1,2.177072754E0,1.109552673E1,9.225315857E-1,1.134466499E1
6.262421250E-1,2.602637787E0,1.119072876E1,-7.195536804E-1,1.151190215E1
6.362461250E-1,2.647095337E0,1.163949554E1,-1.932182007E0,1.209207582E1
6.462511250E-1,1.825304260E0,1.138876694E1,-6.355783081E-1,1.155161061E1
6.562561250E-1,-6.816824341E-1,1.324176361E1,4.747377777E0,1.408355744E1
6.662611250E-1,-3.119063873E0,1.474508743E1,8.476423187E0,1.729149828E1
6.762651250E-1,-3.266956329E0,1.271575745E1,6.403683472E0,1.460721237E1
6.862701250E-1,-6.899153137E-1,9.880353699E0,3.019969940E0,1.035459274E1
6.962751250E-1,2.644700317E0,8.548124084E0,3.725752258E-1,8.955650587E0
7.062801250E-1,3.602708130E0,8.554411011E0,-1.256038055E0,9.366700871E0
7.162851250E-1,4.720583496E0,8.955726471E0,-1.317709808E0,1.020907950E1
7.262891250E-1,6.648424530E0,9.122479706E0,1.262774048E0,1.135851148E1
7.362941250E-1,7.649393005E0,9.034163361E0,2.693947906E0,1.214029144E1
7.462991250E-1,6.931785278E0,9.257498932E0,-2.577639771E-1,1.156794605E1
7.563031250E-1,6.340963898E0,9.599088593E0,-3.056044922E0,1.190334976E1
7.663081250E-1,6.529871063E0,9.791288910E0,-3.818858643E0,1.237304473E1
7.763131250E-1,7.088659058E0,9.910141754E0,-3.685485992E0,1.272960344E1
7.863181250E-1,8.044122162E0,1.014410522E1,-3.025358734E0,1.329524605E1
7.963231250E-1,9.170529785E0,1.035756134E1,-2.565814362E0,1.406986485E1
8.063271250E-1,9.932744751E0,1.016820511E1,-2.250120850E0,1.439148558E1
8.163321250E-1,1.008677444E1,9.461674347E0,-1.779499512E0,1.394392049E1
8.263371250E-1,9.731862488E0,8.113877106E0,-1.559906158E0,1.276626243E1
8.363411250E-1,9.293873291E0,6.599626007E0,-1.411265259E0,1.148576570E1
