"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.250043750E-1,1.848056946E0,-2.089340195E1,3.452869720E0,2.125727802E1
7.350093750E-1,-5.403762817E-2,-1.911135773E1,9.101074219E-1,1.913309201E1
7.450133750E-1,-8.105644226E-1,-1.580009354E1,-1.847158813E0,1.592833846E1
7.550183750E-1,-1.378782806E0,-1.148621429E1,-3.217858429E0,1.200786300E1
7.650233750E-1,-1.041234741E0,-8.283624115E0,-3.482358398E0,9.045961435E0
7.750283750E-1,-2.692900085E-1,-6.321204987E0,-3.151696014E0,7.068474896E0
7.850333750E-1,7.354206848E-1,-5.147944794E0,-2.530637512E0,5.783278084E0
7.950383750E-1,1.753753052E0,-4.684508514E0,-1.812131653E0,5.320158918E0
8.050433750E-1,2.519710236E0,-4.838837585E0,-1.022373962E0,5.550543880E0
8.150473750E-1,2.430795135E0,-5.362748108E0,-2.809657288E-1,5.894639429E0
8.250523750E-1,1.982477417E0,-6.639892273E0,7.056326294E-1,6.965364564E0
8.350573750E-1,9.285191345E-1,-8.413553925E0,1.761985931E0,8.646076095E0
8.450623750E-1,-7.188052368E-1,-9.845326538E0,2.839145966E0,1.027170314E1
8.550673750E-1,-2.443668365E0,-1.069196594E1,3.945794678E0,1.165585460E1
8.650723750E-1,-3.733685760E0,-1.058314224E1,4.702321472E0,1.216779094E1
8.750773750E-1,-4.252506866E0,-9.975555725E0,4.752616882E0,1.183988572E1
8.850813750E-1,-4.178560638E0,-9.302106171E0,4.231849823E0,1.104074731E1
8.950863750E-1,-4.024530945E0,-8.900491333E0,3.600612488E0,1.041057182E1
9.050913751E-1,-4.023034058E0,-8.859626312E0,3.147504730E0,1.022665964E1
9.150963750E-1,-4.190386047E0,-9.070537720E0,3.146157532E0,1.047531847E1
9.251013750E-1,-4.663851471E0,-9.360185394E0,3.636238403E0,1.107189283E1
9.351063750E-1,-5.431754608E0,-9.533225555E0,4.439468079E0,1.183618285E1
9.451113750E-1,-6.380781097E0,-9.419611816E0,5.406906281E0,1.259674917E1
9.551153751E-1,-6.880292358E0,-8.893006897E0,5.922434235E0,1.270823441E1
9.651203750E-1,-6.456673279E0,-7.998916168E0,5.100942535E0,1.147566575E1
9.751253750E-1,-5.556295624E0,-7.672295380E0,3.427572327E0,1.007396593E1
9.851303750E-1,-4.275409241E0,-7.995623016E0,1.817670135E0,9.247325901E0
9.951353750E-1,-2.203268280E0,-8.252339172E0,6.007008362E-1,8.562495806E0
1.005140375E0,-2.142045593E-1,-8.306526489E0,-7.843688965E-2,8.309658131E0
1.015145375E0,9.262738037E-1,-8.753047943E0,-4.511618042E-1,8.813477091E0
1.025149375E0,1.099463654E0,-1.038121216E1,-6.855743408E-1,1.046175886E1
1.035154375E0,4.120930481E-1,-1.302770874E1,-6.822811890E-1,1.305206969E1
1.045159375E0,-4.249662781E-1,-1.549128571E1,-3.516188049E-1,1.550110206E1
1.055164375E0,-1.068777466E0,-1.841799957E1,-3.433859253E-1,1.845217893E1
1.065169375E0,-7.396119690E-1,-1.981519409E1,-5.257067871E-1,1.983596003E1
1.075174375E0,1.354233856E0,-1.704340805E1,3.427871704E-1,1.710056170E1
1.085179375E0,3.576063538E0,-1.109822113E1,1.714684296E0,1.178553711E1
1.095183375E0,3.873195648E0,-7.443720703E0,1.805395660E0,8.583127398E0
1.105188375E0,2.321372681E0,-5.756130066E0,1.063089294E0,6.296980491E0
1.115193375E0,5.081932068E-1,-5.260660400E0,4.161346436E-2,5.285313601E0
1.125198375E0,-5.821394348E-1,-5.243296509E0,-8.533753967E-1,5.344089648E0
1.135203375E0,-9.874964905E-1,-5.146298218E0,-1.408271484E0,5.426118616E0
1.145208375E0,-5.908213806E-1,-5.160219269E0,-1.741029510E0,5.477966462E0
1.155215750E0,8.083190918E-2,-5.516927490E0,-1.821262665E0,5.810337376E0
1.165220750E0,3.960763550E-1,-6.404731293E0,-1.874102783E0,6.685037072E0
1.175225750E0,3.333567810E-1,-7.930209045E0,-2.039658508E0,8.195092988E0
1.185230750E0,1.475930786E-1,-9.744885406E0,-2.049388275E0,9.959144923E0
1.195235750E0,-2.046244812E-1,-1.122231308E1,-1.759740601E0,1.136128818E1
1.205240750E0,-5.146298218E-1,-1.248149460E1,-1.402733002E0,1.257060902E1
1.215245750E0,-6.616241455E-1,-1.316991302E1,-9.602531433E-1,1.322143871E1
1.225250750E0,-7.117698669E-1,-1.310554688E1,-4.909790039E-1,1.313404110E1
1.235254750E0,-6.722520447E-1,-1.245290405E1,-1.456471252E-1,1.247188660E1
1.245259750E0,-6.625222778E-1,-1.132634674E1,-2.948867798E-2,1.134574527E1
1.255264750E0,-8.107141113E-1,-1.025876678E1,-3.367996216E-2,1.029080598E1
1.265269750E0,-1.135239258E0,-9.674681396E0,-6.451583862E-2,9.741272534E0
1.275274750E0,-1.450483704E0,-9.218879242E0,2.365081787E-2,9.332320012E0
1.285279750E0,-1.581161957E0,-8.830437012E0,1.643582153E-1,8.972385668E0
1.295283750E0,-1.719624023E0,-8.674611053E0,5.689668274E-1,8.861698876E0
1.305288750E0,-1.857786713E0,-8.880283356E0,9.861492920E-1,9.125968133E0
1.315293750E0,-1.627715149E0,-9.269324341E0,6.036946106E-1,9.430497205E0
1.325298750E0,-1.050814819E0,-9.733359375E0,-2.417472839E-1,9.792902443E0
1.335303750E0,-7.017407227E-1,-1.018182678E1,-1.010548553E0,1.025588831E1
1.345308750E0,-5.129832458E-1,-1.052820648E1,-1.420545959E0,1.063598770E1
1.355313750E0,-4.583468628E-1,-1.058808197E1,-1.496288452E0,1.070310426E1
1.365318750E0,-4.195774841E-1,-1.051204010E1,-1.150657196E0,1.058314907E1
1.375322750E0,-2.674937439E-1,-1.042162811E1,-5.194198608E-1,1.043799226E1
1.385327750E0,-2.231858826E-1,-1.035860916E1,1.842668152E-1,1.036265169E1
1.395332750E0,-3.956272888E-1,-1.033091675E1,7.033872986E-1,1.036238947E1
1.405337750E0,-5.539979553E-1,-1.021191422E1,6.939569092E-1,1.025044789E1
