"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.094500036E-3,2.032772827E0,2.268083496E0,8.323890381E0,8.863606443E0
1.410050003E-2,1.884281616E0,1.894310760E0,8.253836060E0,8.675525354E0
2.410550002E-2,1.355131989E0,1.646875305E0,8.543633423E0,8.805807915E0
3.411050001E-2,5.926176453E-1,1.762584686E0,8.999734955E0,9.189838394E0
4.411650001E-2,1.691482544E-2,2.078427887E0,9.573042755E0,9.796085758E0
5.412150006E-2,-3.637435913E-1,2.600542145E0,1.009979736E1,1.043556590E1
6.412750005E-2,-4.975653076E-1,3.024909668E0,1.044333298E1,1.088397232E1
7.413250004E-2,-3.965254211E-1,3.310964813E0,1.070468948E1,1.121205143E1
8.413750003E-2,-8.442443848E-2,3.491788788E0,1.081126785E1,1.136148005E1
9.414350003E-2,1.983375549E-1,3.454965363E0,1.073911789E1,1.128294184E1
1.041485000E-1,3.598516846E-1,3.205434265E0,1.060305084E1,1.108282406E1
1.141535000E-1,6.086343384E-1,2.870430908E0,1.040186920E1,1.080780700E1
1.241595000E-1,9.388476562E-1,2.506687317E0,1.022897873E1,1.057340636E1
1.341645001E-1,1.229094086E0,2.165995789E0,1.002824615E1,1.033285686E1
1.441705000E-1,1.337468719E0,1.793121185E0,9.806407471E0,1.005831664E1
1.541755000E-1,1.299597473E0,1.429527283E0,9.696535950E0,9.887128565E0
1.641805000E-1,1.018332367E0,1.084045715E0,9.528585205E0,9.643966608E0
1.741865000E-1,7.086264038E-1,8.375083923E-1,9.316176910E0,9.380550299E0
1.841915000E-1,6.339317322E-1,8.925938416E-1,9.095835114E0,9.161485121E0
1.941975000E-1,4.975653076E-1,1.225351868E0,8.858428802E0,8.956607577E0
2.042025001E-1,2.698887634E-1,1.452729034E0,8.844956818E0,8.967526008E0
2.142075000E-1,1.279838562E-1,1.425335999E0,9.020841064E0,9.133648564E0
2.242135000E-1,-1.107696533E-2,1.152752838E0,9.032516785E0,9.105785044E0
2.342185000E-1,5.553451538E-2,8.273295593E-1,9.009614410E0,9.047690872E0
2.442235000E-1,-6.571334839E-2,1.767823792E-1,8.795260162E0,8.797282056E0
2.542295000E-1,2.291734314E-1,8.967851257E-1,8.751850433E0,8.800660772E0
2.642345000E-1,1.237326965E0,1.940564575E0,8.790619812E0,9.086900768E0
2.742391250E-1,1.420545959E0,2.614014130E0,8.981023865E0,9.460962443E0
2.842451250E-1,1.191971283E0,3.042423248E0,9.489217072E0,1.003605378E1
2.942501250E-1,9.729766846E-1,2.430196381E0,9.514963531E0,9.868488693E0
3.042561250E-1,4.336482239E-1,1.678459625E0,9.368418274E0,9.527462330E0
3.142611251E-1,-1.631607056E-2,1.237326965E0,9.382189636E0,9.463441583E0
3.242661250E-1,-8.337661743E-2,1.108444977E0,9.511371002E0,9.576104650E0
3.342721250E-1,5.688171387E-2,1.249751129E0,9.710457001E0,9.790714406E0
3.442771250E-1,4.475692749E-2,1.500779114E0,9.711205444E0,9.826589048E0
3.542831250E-1,3.697311401E-2,1.606159973E0,9.555229797E0,9.689351544E0
3.642881250E-1,5.405259705E-1,1.587149506E0,9.637558594E0,9.782318106E0
3.742931250E-1,4.912783813E-1,1.518292694E0,9.507479095E0,9.640473324E0
3.842991251E-1,6.283932495E-1,1.447639618E0,9.724228363E0,9.851454502E0
3.943041250E-1,6.354286194E-1,1.411714325E0,1.013362701E1,1.025120009E1
4.043091250E-1,2.947370911E-1,1.304836578E0,1.040261765E1,1.048827547E1
4.143151250E-1,-9.280700684E-3,1.153201904E0,1.062610291E1,1.068849960E1
4.243201250E-1,-2.441423035E-1,1.056053925E0,1.071367081E1,1.076836095E1
4.343261250E-1,-3.541635132E-1,9.827064514E-1,1.075363770E1,1.080425229E1
4.443311250E-1,-4.029620361E-1,1.050814819E0,1.062745010E1,1.068687447E1
4.543361251E-1,-3.731739807E-1,1.237476654E0,1.042611877E1,1.050592975E1
4.643421251E-1,-2.038760376E-1,1.437011719E0,1.028541138E1,1.038731223E1
4.743471250E-1,8.532257080E-3,1.636247406E0,1.016027161E1,1.029118543E1
4.843521250E-1,1.167572021E-1,1.781445465E0,1.004022125E1,1.019770675E1
4.943581250E-1,1.853146362E-1,1.816622314E0,9.991422729E0,1.015691815E1
5.043631250E-1,1.793270874E-1,1.735191650E0,9.948312378E0,1.010009740E1
5.143691250E-1,7.933502197E-3,1.498833160E0,9.714648285E0,9.829595876E0
5.243741250E-1,-2.731819153E-1,1.227148132E0,9.357191620E0,9.441268766E0
5.343791250E-1,-3.580554199E-1,1.136287079E0,9.123228149E0,9.200687141E0
5.443851250E-1,-3.921844482E-2,1.304986267E0,9.300459595E0,9.391649265E0
5.543901250E-1,4.076023865E-1,1.580263824E0,9.840835876E0,9.975240559E0
5.643961250E-1,6.598278809E-1,1.673220520E0,1.057520874E1,1.072707228E1
5.744011250E-1,7.390132141E-1,1.484463043E0,1.141017242E1,1.153003928E1
5.844061250E-1,7.075785828E-1,1.118025055E0,1.210921875E1,1.218129001E1
5.944121250E-1,5.086422729E-1,6.462062073E-1,1.236368958E1,1.239100962E1
6.044171251E-1,2.592608643E-1,1.902543640E-1,1.226235031E1,1.226656627E1
6.144221250E-1,3.023712158E-2,-2.655477905E-1,1.172212372E1,1.172517012E1
6.244281250E-1,-8.532257080E-2,-5.248086548E-1,1.099778000E1,1.101062528E1
6.344331250E-1,-4.640350342E-3,-4.824467468E-1,1.017269577E1,1.018413058E1
6.444391250E-1,2.252815247E-1,-1.826202393E-1,9.287137299E0,9.291664066E0
6.544441250E-1,5.942642212E-1,2.884501648E-1,8.559949493E0,8.585399746E0
6.644491250E-1,9.394464111E-1,7.216493225E-1,8.071814575E0,8.158279711E0
6.744551250E-1,1.143921204E0,9.541159058E-1,7.878716125E0,8.018295372E0
6.844601250E-1,1.169068909E0,9.647438049E-1,8.047714691E0,8.189210247E0
6.944651250E-1,1.067879333E0,7.900570679E-1,8.377478943E0,8.482140643E0
7.044711250E-1,9.002279663E-1,4.888833618E-1,8.623417511E0,8.684051295E0
7.144761250E-1,7.470964050E-1,2.667453003E-1,8.807384949E0,8.843038829E0
7.244821250E-1,6.366261292E-1,2.320175171E-1,9.026379547E0,9.051776217E0
7.344871250E-1,4.975653076E-1,3.522175598E-1,9.227710876E0,9.247825499E0
7.444921251E-1,3.315605164E-1,5.878276062E-1,9.398805084E0,9.423004334E0
7.544981251E-1,2.115101624E-1,8.881031799E-1,9.606573029E0,9.649855396E0
7.645031250E-1,1.148112488E-1,1.141226807E0,9.803862762E0,9.870729725E0
7.745081250E-1,1.122665405E-2,1.303190002E0,9.985734558E0,1.007041831E1
7.845141250E-1,2.320175171E-2,1.401685181E0,1.015922379E1,1.025549061E1
7.945191250E-1,6.062393188E-2,1.361269226E0,1.031714539E1,1.040673907E1
8.045251250E-1,1.047821045E-3,1.110989685E0,1.029798523E1,1.035774102E1
8.145301250E-1,-9.086105347E-2,7.500901794E-1,1.016536102E1,1.019340256E1
8.245351251E-1,-1.977388000E-1,4.399351501E-1,1.006821304E1,1.007975979E1
8.345411250E-1,-2.797682190E-1,2.462379456E-1,9.978399811E0,9.985357588E0
8.445461250E-1,-3.477268982E-1,2.077679443E-1,9.829908600E0,9.838251094E0
