"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.490987084E-1,1.408900177E1,5.990542603E-1,8.773405609E0,1.660817518E1
6.591037083E-1,1.462788116E1,4.510121155E-1,7.960745544E0,1.665988562E1
6.691087083E-1,1.549068695E1,5.655239868E-1,7.619904327E0,1.727264142E1
6.791127084E-1,1.671139847E1,4.930746460E-1,7.536976776E0,1.833902888E1
6.891177084E-1,1.821547073E1,4.198768616E-1,7.859555969E0,1.984319255E1
6.991227083E-1,1.981908600E1,3.013233948E-1,8.579558716E0,2.159851368E1
7.091267083E-1,2.128663422E1,2.740800476E-1,9.350755005E0,2.325150609E1
7.191317083E-1,2.224449234E1,2.757266235E-1,9.918075256E0,2.435696372E1
7.291367084E-1,2.291824127E1,3.231779480E-1,1.055335419E1,2.523338090E1
7.391407083E-1,2.379197433E1,1.691482544E-2,1.084883972E1,2.614872181E1
7.491457083E-1,2.505878998E1,-4.549040222E-1,1.077459412E1,2.728079492E1
7.591507083E-1,2.683873856E1,-6.268963623E-1,1.104508163E1,2.902937675E1
7.691547084E-1,2.836840759E1,-9.979747009E-1,1.130239655E1,3.055334140E1
7.791597084E-1,2.935740097E1,-1.321751404E0,1.182795364E1,3.167813924E1
7.891647083E-1,3.033666458E1,-1.817969513E0,1.248164429E1,3.285437072E1
7.991687083E-1,3.087374771E1,-2.667752380E0,1.288879761E1,3.356227502E1
8.091737083E-1,3.124407761E1,-3.759881287E0,1.320059921E1,3.412601518E1
8.191787084E-1,3.152489365E1,-4.804708557E0,1.325478653E1,3.453394721E1
8.291827083E-1,3.141562088E1,-5.596412201E0,1.319700668E1,3.453146464E1
8.391877083E-1,3.122521683E1,-6.151607666E0,1.330717758E1,3.449546953E1
8.491917083E-1,3.109019760E1,-6.565646667E0,1.381282608E1,3.464826500E1
8.591967084E-1,3.126189056E1,-7.000492401E0,1.433733536E1,3.509803243E1
8.692017084E-1,3.103945312E1,-7.339237976E0,1.478385681E1,3.515500657E1
8.792057083E-1,3.014985306E1,-7.402406616E0,1.555116119E1,3.472244055E1
8.892107083E-1,2.872032578E1,-7.584577789E0,1.587029755E1,3.367861751E1
8.992157084E-1,2.662692902E1,-7.788753204E0,1.534219574E1,3.170238154E1
9.092197084E-1,2.418954758E1,-7.538473663E0,1.447624649E1,2.918089289E1
9.192247083E-1,2.199675751E1,-7.418572998E0,1.329610062E1,2.675217482E1
9.292297083E-1,2.017369858E1,-7.338489532E0,1.147364044E1,2.434082924E1
9.392337084E-1,1.890703262E1,-7.665260010E0,9.553732910E0,2.252789174E1
9.492387084E-1,1.730985397E1,-7.408094788E0,8.094567261E0,2.049470498E1
9.592437083E-1,1.572435104E1,-6.742129669E0,7.699987793E0,1.876169876E1
9.692477083E-1,1.454315735E1,-6.187233582E0,7.878716125E0,1.765954283E1
9.792527083E-1,1.364098343E1,-6.046825562E0,8.179440765E0,1.701598600E1
9.892577084E-1,1.292876450E1,-6.054010620E0,8.161627808E0,1.644433533E1
9.992617083E-1,1.157872192E1,-6.143075409E0,7.493417358E0,1.509819461E1
1.009266708E0,9.853260040E0,-6.461762695E0,6.008355560E0,1.322654328E1
1.019271708E0,8.347092133E0,-6.699468384E0,4.104464722E0,1.146313458E1
1.029275708E0,6.399492188E0,-7.025640106E0,1.064137115E0,9.562714414E0
1.039280708E0,4.619543610E0,-7.342680817E0,-2.359094238E0,8.990020599E0
1.049285708E0,3.426225128E0,-7.394922180E0,-5.177732849E0,9.655713860E0
1.059289708E0,2.711012421E0,-7.321125641E0,-6.967411194E0,1.046390404E1
