"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.319112917E-1,-2.966830444E-1,1.552421722E0,9.253307648E0,9.387317852E0
6.419162917E-1,-2.103126526E-1,1.522483978E0,9.030421143E0,9.160278101E0
6.519222917E-1,-3.697311401E-1,1.676363983E0,8.796906738E0,8.962838026E0
6.619272917E-1,-4.463717651E-1,2.070943451E0,8.165669403E0,8.436006836E0
6.719322916E-1,-3.230282593E-1,2.111359406E0,8.062533875E0,8.340661741E0
6.819382916E-1,-1.658551025E-1,1.665586395E0,8.500223694E0,8.663457093E0
6.919432917E-1,1.011895752E-1,1.626068573E0,9.144783325E0,9.288778197E0
7.019492917E-1,3.595523071E-1,1.670226746E0,9.951006775E0,1.009660691E1
7.119542917E-1,4.180805969E-1,1.717827759E0,1.060110489E1,1.074751825E1
7.219592917E-1,4.418811035E-1,1.790277100E0,1.102442459E1,1.117757973E1
7.319652917E-1,1.977388000E-1,1.659299469E0,1.103864502E1,1.116441038E1
7.419702917E-1,-7.035369873E-3,1.634301453E0,1.088656128E1,1.100855155E1
7.519752916E-1,-9.385482788E-2,1.882036285E0,1.095047836E1,1.111142861E1
7.619812916E-1,-5.665718079E-1,2.463876343E0,1.029005173E1,1.059607733E1
7.719862917E-1,-6.982978821E-1,2.812950439E0,9.717791748E0,1.014079812E1
7.819912917E-1,-4.791535950E-1,2.852318573E0,9.651479645E0,1.007553317E1
7.919972917E-1,-7.753875732E-2,2.652484131E0,1.019410126E1,1.053382100E1
8.020022917E-1,3.043171692E-1,2.300116882E0,1.061008621E1,1.086080458E1
8.120082917E-1,7.322772217E-1,1.821562042E0,1.043435165E1,1.061743908E1
8.220132916E-1,1.013392639E0,1.708397369E0,9.709708557E0,9.910803523E0
8.320182917E-1,1.133742371E0,2.046544189E0,9.665400696E0,9.944530431E0
8.420242917E-1,1.318458252E0,2.509681091E0,1.082803299E1,1.119299467E1
8.520292917E-1,1.642833710E0,2.763104095E0,1.022418869E1,1.071763412E1
8.620342917E-1,1.818119202E0,2.821333008E0,8.576864319E0,9.210216008E0
8.720402917E-1,1.292412415E0,2.988385620E0,8.828940125E0,9.410152081E0
8.820452917E-1,7.322772217E-1,3.189866638E0,9.387877808E0,9.942018348E0
8.920502916E-1,2.576142883E-1,3.293900299E0,9.889484711E0,1.042679491E1
9.020562916E-1,-6.795867920E-2,3.212469635E0,1.011611343E1,1.061415708E1
9.120612917E-1,-4.035607910E-1,2.925516357E0,1.003737717E1,1.046281261E1
9.220672917E-1,-7.186555481E-1,2.566712494E0,9.862540741E0,1.021636866E1
9.320722917E-1,-1.103355560E0,2.123933258E0,1.021475830E1,1.049141426E1
9.420772917E-1,-1.281335449E0,1.793869629E0,1.095661560E1,1.117618961E1
9.520832917E-1,-7.762857056E-1,1.578916626E0,1.055365356E1,1.069930842E1
9.620882916E-1,-1.020877075E-1,1.255289612E0,1.132604736E1,1.139585551E1
9.720932916E-1,1.871109009E-1,1.341959381E0,1.164009430E1,1.171868853E1
9.820992917E-1,-1.269360352E-1,1.151405640E0,9.460177460E0,9.530834448E0
9.921042917E-1,-5.783972168E-1,8.677455139E-1,9.456884308E0,9.514209711E0
1.002109292E0,-5.451663208E-1,9.300160217E-1,9.605225830E0,9.665531510E0
1.012115292E0,-4.641847229E-1,1.180445251E0,9.112749939E0,9.200604866E0
1.022120292E0,-5.950126648E-1,1.473535767E0,9.004824371E0,9.143971221E0
1.032126292E0,-5.004093933E-1,1.783541107E0,8.828491058E0,9.020736268E0
1.042131292E0,-2.673440552E-1,1.965861969E0,8.709787903E0,8.932888191E0
1.052136292E0,-1.206191711E0,1.823058929E0,8.585396576E0,8.859315813E0
1.062142292E0,-1.900447998E0,1.653461609E0,8.275391235E0,8.650302768E0
1.072147292E0,-2.244881744E0,1.527423706E0,8.540190582E0,8.961438077E0
1.082152292E0,-1.864223328E0,1.393003235E0,8.991053009E0,9.287347352E0
1.092158292E0,-7.988887024E-1,1.264420624E0,9.588011627E0,9.703965665E0
1.102163292E0,6.840774536E-2,1.155297546E0,1.037866745E1,1.044299431E1
1.112168292E0,5.486091614E-1,1.105900269E0,1.080932190E1,1.087958765E1
1.122174292E0,6.131250000E-1,1.074914703E0,1.099942657E1,1.106881877E1
1.132179292E0,4.355941772E-1,1.024469604E0,1.110241241E1,1.115808414E1
1.142184292E0,3.147953796E-1,9.874964905E-1,1.107846222E1,1.112684010E1
1.152190292E0,3.035687256E-1,9.331594849E-1,1.087398743E1,1.091817490E1
1.162195292E0,3.285667419E-1,8.975335693E-1,1.043884232E1,1.048250693E1
1.172201292E0,5.074447632E-1,8.753796387E-1,9.936337280E0,9.987721875E0
1.182206292E0,7.153623962E-1,8.481362915E-1,9.580826569E0,9.644859577E0
1.192211292E0,5.608836365E-1,9.446855164E-1,9.327253876E0,9.391734986E0
